KIN	AGC_group	PKBalpha	PKB alpha
KIN	AGC_group	PKBbeta	PKB beta
KIN	AGC_group	PKBgamma	PKB gamma
KIN	AGC_group	SGK1	SGK1
KIN	AGC_group	SGK3	SGK3
KIN	AGC_group	SGK2	SGK2
KIN	AGC_group	PKCalpha	PKCalpha
KIN	AGC_group	PKCbeta	PKCbeta
KIN	AGC_group	PKCgamma	PKCgamma
KIN	AGC_group	PKCeta	PKCL
KIN	AGC_group	PKCepsilon	PKCE
KIN	AGC_group	PKCdelta	PKCD
KIN	AGC_group	PKCtheta	nPKC-theta
KIN	AGC_group	PKCiota	PKCI
KIN	AGC_group	PKCzeta	nPKC-zeta
KIN	AGC_group	PKN1	PKN1
KIN	AGC_group	PKN2	PKN2
KIN	AGC_group	PKN3	PKN3
KIN	AGC_group	RSK5	RSKL
KIN	AGC_group	RPS6KA4	RPS6KA4
KIN	AGC_group	p70S6K	PS6K
KIN	AGC_group	p70S6Kb	p70S6Kb
KIN	AGC_group	RSK1	RSK1
KIN	AGC_group	RSK2	RSK2
KIN	AGC_group	RSK3	RSK3
KIN	AGC_group	RSK4	RSK4
KIN	AGC_group	GRK2	GRK2
KIN	AGC_group	GRK3	GRK3
KIN	AGC_group	GRK1	GRK1
KIN	AGC_group	GRK7	GRK7
KIN	AGC_group	GRK4	GRK4
KIN	AGC_group	GRK5	GRK5
KIN	AGC_group	GRK6	GRK6
KIN	AGC_group	DMPK1	DMPK
KIN	AGC_group	DMPK2	DMPK2
KIN	AGC_group	MRCKb	MRCKB
KIN	AGC_group	MRCKa	MRCKA
KIN	AGC_group	ROCK2	ROCK2
KIN	AGC_group	ROCK1	ROCK1
KIN	AGC_group	NDR1	NDR1
KIN	AGC_group	NDR2	NDR2
KIN	AGC_group	CRIK	CRIK
KIN	AGC_group	LATS1	LATS1
KIN	AGC_group	LATS2	LATS2
KIN	AGC_group	MAST3	MAST3
KIN	AGC_group	MAST2	MAST2
KIN	AGC_group	MAST1	MAST1
KIN	AGC_group	MAST4	MAST4
KIN	AGC_group	MASTL	MASTL
KIN	AGC_group	SgK494	SgK494
KIN	AGC_group	YANK3	YANK3
KIN	AGC_group	YANK2	YANK2
KIN	AGC_group	YANK1	YANK1
KIN	AGC_group	RSKL2	RSKL2
KIN	AGC_group	RSKL1	RSKL1
KIN	AGC_group	PRKX	PRKX
KIN	AGC_group	PRKY	PRKY
KIN	AGC_group	PKAalpha	PKA C-alpha
KIN	AGC_group	PKAbeta	PKA C-beta
KIN	AGC_group	PKAgamma	PKA C-gamma
KIN	AGC_group	PKG1cGKI	PRKG1
